
2025/07/03 (14:04:34) | ===> btop++ v.1.4.0
2025/07/03 (14:04:34) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/03 (14:06:23) | WARNING: Failed to join _runner thread on exit!

2025/07/03 (19:43:13) | ===> btop++ v.1.4.0
2025/07/03 (19:43:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/03 (19:43:21) | WARNING: Failed to join _runner thread on exit!

2025/07/04 (09:07:27) | ===> btop++ v.1.4.0
2025/07/04 (09:07:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/04 (09:38:24) | WARNING: Failed to join _runner thread on exit!

2025/07/04 (10:39:18) | ===> btop++ v.1.4.0
2025/07/04 (10:39:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/04 (14:18:20) | WARNING: Failed to join _runner thread on exit!

2025/07/04 (14:29:57) | ===> btop++ v.1.4.0
2025/07/04 (14:29:57) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/04 (14:30:10) | WARNING: Failed to join _runner thread on exit!

2025/07/04 (14:53:21) | ===> btop++ v.1.4.0
2025/07/04 (14:53:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/04 (14:54:04) | ===> btop++ v.1.4.0
2025/07/04 (14:54:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/04 (16:15:12) | ===> btop++ v.1.4.0
2025/07/04 (16:15:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/04 (20:01:20) | ===> btop++ v.1.4.0
2025/07/04 (20:01:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/04 (20:01:30) | WARNING: Failed to join _runner thread on exit!

2025/07/04 (20:01:39) | ===> btop++ v.1.4.0
2025/07/04 (20:01:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/04 (20:02:11) | WARNING: Failed to join _runner thread on exit!

2025/07/04 (20:09:10) | ===> btop++ v.1.4.0
2025/07/04 (20:09:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/04 (20:09:21) | WARNING: Failed to join _runner thread on exit!

2025/07/05 (11:42:58) | ===> btop++ v.1.4.0
2025/07/05 (11:42:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/05 (11:43:10) | WARNING: Failed to join _runner thread on exit!

2025/07/05 (18:28:58) | ===> btop++ v.1.4.0
2025/07/05 (18:28:58) | WARNING: Intel GPU: Failed to initialize PMU
